id,Title,Content,Excerpt,PostType,ImageURL,LocatorGender,LocatorType,_telephone,_address,LocatorCities,State,_zip,LocatorCountries,_email,_website,,
6812,Ai laket!! Usuarios de Drogas por la Reducción de Riesgos,,,locator,,,Marijuana Associations,'+34661867600,Apdo. de correos 605 Vitoria-Gasteiz,Araba,,1080,Spain,ailaket@wanadoo.es,,,
6813,Asociación de Amigos del Cannabis (AAC),,,locator,,,Marijuana Associations,,Apdo. de correos 8.079 Gijón,Asturias,,33208,Spain,contact@marijuanagames.org,,,
6814,Asociacion de cannabis de Gijon,,,locator,,,Marijuana Associations,,Artilleria nº 28 Gijon,Asturias,,33201,Spain,asociacionfcg@gmail.com,,,
6815,ABEIC,,,locator,,,Marijuana Associations,'+34647624747,"Carrer Nou, 22, Llubí Illes,",Baleares,,7430,Spain,abeic@abeic.es,,,
6816,Ateneu Llibertari Nura,,,locator,,,Marijuana Associations,'+34971384455,Apdo. de correos 108 Ciutadella de Menorca,Baleares,,7780,Spain,atlibernura@infotelecom.es,,,
6817,Grow Marley Arenal,,,locator,,,Marijuana Associations,'+34631014258,"Carrer de Lisboa, 3,  Palma",Baleares,,7600,Spain,,,,
6818,Colectivo de autocultivo responsable de Balears - CARB,,,locator,,,Marijuana Associations,'+34675090606,"Carrer de Pedaç, Camí, 2, Binissalem",Baleares,,7350,Spain,asociacionbcc@gmail.com,,,
6819,ASociación Balear de Consimudores de Cannabis - ABCC,,,locator,,,Marijuana Associations,'+34675090606,"Carrer de Pedaç, Camí, 2, Binissalem",Baleares,,7350,Spain,asociacionbcc@gmail.com,,,
6820,CANEM LLevant,,,locator,,,Marijuana Associations,'+34606138806,"Carrer del Mar, 42",Baleares,,7580,Spain,CANEMLLEVANT@terra.es,,,
6821,Asociación cannabica Suso club San Adrián,,,locator,,,Marijuana Associations,,"Carrer de la Torrassa, 24, Sant Adrià de Besòs",Barcelona,,8930,Spain,,,,
6822,NPK Club Barcelona,,,locator,,,Marijuana Associations,'+34933035049,"Carrer del Dr. Trueta, 172, 08005 Barcelona",Barcelona,,8440,Spain,npkbarcelona@gmail.com,,,
6823,Asociacion Cannabica Greenland Cardedeu,,,locator,,,Marijuana Associations,'+34935467028,"Avinguda del Rei en Jaume, 58,Cardedeu",Barcelona,,8440,Spain,,,,
6824,Asoc. Green Planet Cannabis Club,,,locator,,,Marijuana Associations,'+34612530654,"Placeta Sant Francesc, 2",Barcelona,,8002,Spain,,,,
6825,Asociación Malibu Club Canabico,,,locator,,,Marijuana Associations,'+34938326159,"Carrer de Roger de Flor, 96",Barcelona,,8013,Spain,,,,
6826,Asociacion canabica la mente,,,locator,,,Marijuana Associations,,"Carrer de Valldonzella, 7",Barcelona,,8003,Spain,,,,
6827,Organic Oz,,,locator,,,Marijuana Associations,'+34936671641,"Carrer de l'Encarnació, 172",Barcelona,,80025,Spain,,,,
6828,The Green Boutique Private Members Club,,,locator,,,Marijuana Associations,,"C. del Comte Borrell, 109",Barcelona,,8015,Spain,,,,
6829,Smoke Weed Barcelona,,,locator,,,Marijuana Associations,'+34931005415,"Carrer de Rosés, 33",Barcelona,,8028,Spain,,,,
6830,Iceberg Weed Coffeeshop,,,locator,,,Marijuana Associations,'+34931005269,"Carrer d'Aribau, 157",Barcelona,,8036,Spain,,,,
6831,Asociacion La Milla Verde / The Green Mile,,,locator,,,Marijuana Associations,'+34933153704,"Carrer de Calaf, 50",Barcelona,,8021,Spain,,,,
6832,MBC Marijuana Barcelona Club,,,locator,,,Marijuana Associations,'+34931005295,"Carrer de Josep Pla, 31",Barcelona,,8019,Spain,,,,
6833,Doctor Greenthumb,,,locator,,,Marijuana Associations,,"Carrer de Teodora Lamadrid, 32",Barcelona,,8022,Spain,,,,
6834,Cali Weed,,,locator,,,Marijuana Associations,+3493100 5399,"Carrer d'Aribau, 71",Barcelona,,8036,Spain,,,,
6835,Marisana,,,locator,,,Marijuana Associations,'+34936673010,"Carrer de València, 597",Barcelona,,8026,Spain,,,,
6836,La Sagrada Maria Club,,,locator,,,Marijuana Associations,,"Carrer de Mallorca, 440",Barcelona,,8013,Spain,hola@sagradamariaclub.org,,,
6837,Greenardó,,,locator,,,Marijuana Associations,'+34934462911,"Carrer Anna Maria Martinez Sagi, 39",Barcelona,,8041,Spain,info@sweetdreamsbcn.com,,,
6838,Remedy Cannabis Club,,,locator,,,Marijuana Associations,'+34935158396,"Carrer Nou de Sant Francesc, 32",Barcelona,,8002,Spain,,,,
6839,hash Oil Club,,,locator,,,Marijuana Associations,,"Comtes de Bell-Lloc, 112",Barcelona,,8014,Spain,,,,
6840,Tressor Barcelona Cannabis Club,,,locator,,,Marijuana Associations,'+34602100969,"Carrer de la Diputació, 305, 08009",Barcelona,,8009,Spain,,,,
6841,Coffee Shop Barcelona Weed Club,,,locator,,,Marijuana Associations,,"Carrer de la Font Honrada, 5",Barcelona,,8004,Spain,,,,
6842,Headbanger Weed Social Club Barcelona,,,locator,,,Marijuana Associations,,"Carrer de Lepant, 311",Barcelona,,8025,Spain,,,,
6843,Barcelona Coffeeshop,,,locator,,,Marijuana Associations,'+34931005279,Carrer d'Aragó 60,Barcelona,,8015,Spain,,,,
6844,Sweet and Green,,,locator,,,Marijuana Associations,'+34646157030,Comte Borrell 137,Barcelona,,8015,Spain,sweetandgreenbarcelona@gmail.com,,,
6845,Club Marina 50 Barcelona,,,locator,,,Marijuana Associations,'+34936691578,"Carrer de la Marina, 50",Barcelona,,8005,Spain,,,,
6846,Private Social Club Weed Barcelona,,,locator,,,Marijuana Associations,'+34931005259,"Carrer dels Morabos, 5",Barcelona,,8004,Spain,,,,
6847,Casanova Weed Barcelona,,,locator,,,Marijuana Associations,'+34931005274,"Carrer de Casanova, 112",Barcelona,,8036,Spain,,,,
6848,Green Paradise Club Barcelona,,,locator,,,Marijuana Associations,'+34931005261,"Carrer de Teodor Bonaplata, 8",Barcelona,,8004,Spain,,,,
6849,Dragon Club,,,locator,,,Marijuana Associations,'+34931005246,"Carrer del Bruc, 60",Barcelona,,8009,Spain,,,,
6850,Kush AccB,,,locator,,,Marijuana Associations,'+34931672656,"Carrer de Freixures, 8",Barcelona,,8003,Spain,kushaccb@gmail.com,,,
6851,Marijuana Club Barcelona,,,locator,,,Marijuana Associations,'+34678229864,"Carrer de Floridablanca, 134, Low",Barcelona,,8003,Spain,,,,
6852,Gelato Weed Barcelona,,,locator,,,Marijuana Associations,'+34931005268,"Carrer de Viladomat, 109",Barcelona,,8015,Spain,,,,
6853,Barcelona Legalize,,,locator,,,Marijuana Associations,'+34640181462,"Rambla del Poblenou, 57, local 2",Barcelona,,8005,Spain,,,,
6854,Legal Weed Barcelona,,,locator,,,Marijuana Associations,'+34931005297,"Carrer de Castella, 39",Barcelona,,8018,Spain,,,,
6855,FADED BARCELONA,,,locator,,,Marijuana Associations,'+34933283765,"Carrer de Padilla, 371",Barcelona,,8018,Spain,,,,
6856,Hash Barcelona Club,,,locator,,,Marijuana Associations,'+34931005271,"Carrer dels Comtes de Bell-Lloc, 112",Barcelona,,8014,Spain,,,,
6857,ocial Weed Club Barcelona,,,locator,,,Marijuana Associations,'+34931005275,"Carrer del Marquès de Barberà, 6",Barcelona,,8001,Spain,,,,
6858,Barcelona Haze Weed - Social Smoke Club,,,locator,,,Marijuana Associations,'+34602078042,"C/ d'Entença, 146, 08029 Barcelona",Barcelona,,8029,Spain,,,,
6859,Marihuana Shop,,,locator,,,Marijuana Associations,'+34931005285,"Carrer de Marià Cubí, 101",Barcelona,,8021,Spain,,,,
6860,House of terps Bcn,,,locator,,,Marijuana Associations,'+34603545172,"Carrer de Padilla, 386",Barcelona,,8025,Spain,,,,
6861,Canja deluxe,,,locator,,,Marijuana Associations,,"Carrer de Gelabert, 32",Barcelona,,8029,Spain,,,,
6862,Growmoda club barcelona,,,locator,,,Marijuana Associations,'+34602964709,"Carrer d'Elisabets, 3",Barcelona,,8001,Spain,,,,
6863,Hazotik asociacìon barcelona,,,locator,,,Marijuana Associations,'+34631964709,"Carrer de Portbou, 12",Barcelona,,8028,Spain,,,,
6864,AK Club,,,locator,,,Marijuana Associations,'+34934320942,"Av. del Carrilet, 111 L'Hospitalet de lobregat",Barcelona,,8902,Spain,,,,
6865,Buggy Club,,,locator,,,Marijuana Associations,'+34632324221,"Carrer de Roger de Flor, 3",Barcelona,,8018,Spain,,,,
6866,Beach Canna Club,,,locator,,,Marijuana Associations,'+34931005531,"Plaça de Tirant lo Blanc, 1,",Barcelona,,8005,Spain,,,,
6867,IL PADRINO associació cannàbica,,,locator,,,Marijuana Associations,'+34936670893,"Carrer de Ruiz de Padrón, 31",Barcelona,,8026,Spain,,,,
6868,Nay-coperto,,,locator,,,Marijuana Associations,,"aixada de Viladecols, 15",Barcelona,,8002,Spain,,,,
6869,Wolf Genètics,,,locator,,,Marijuana Associations,'+34603741350,"vinguda del Paral·lel, 150",Barcelona,,8015,Spain,,,,
6870,WEEDANDWEEDS,,,locator,,,Marijuana Associations,,"Carrer de la Creu dels Molers, 59",Barcelona,,8004,Spain,,,,
6871,Cube BCN Club,,,locator,,,Marijuana Associations,,"Carrer dels Enamorats, 128",Barcelona,,8026,Spain,,,,
6872,Highstreet Social Club,,,locator,,,Marijuana Associations,'+34933132385,"Carrer de Castella, 37-39",Barcelona,,8018,Spain,,,,
6873,G13 Cannabis Club,,,locator,,,Marijuana Associations,'+34931005297,"Carrer de Nàpols, 187",Barcelona,,8013,Spain,,,,
6874,the legend,,,locator,,,Marijuana Associations,'+34931891128,"Carrer de Calaf, 5 Santa Coloma de Gramene",Barcelona,,8922,Spain,,,,
6875,Asociación Nova 420 Club Cannabis,,,locator,,,Marijuana Associations,'+34680351091,"Carrer del Portal Nou, 13",Barcelona,,8003,Spain,,,,
6876,ssociació Cannàbica Vilanovina,,,locator,,,Marijuana Associations,,"Carrer de Santa Magdalena, 36 Vilanova i la Geltr",Barcelona,,8800,Spain,,,,
6877,Propiedades medicinales de la marihuana (Cannabis Sativa),,,locator,,,Marijuana Associations,'+34938953401,"Av. Catalunya, 33 Cubelles",Barcelona,,8880,Spain,,,,
6878,Belveda,,,locator,,,Marijuana Associations,'+34934617471,"Carrer de la Renaixença, 14,18 loc03",Barcelona,,8041,Spain,belvedacannabisclub@gmail.com,,,
6879,BCN Coffeeshop,,,locator,,,Marijuana Associations,'+34931005285,"Carrer de Marià Cubí, 101",Barcelona,,8021,Spain,,,,
6880,Asociacion SUCS,,,locator,,,Marijuana Associations,'+34933156977,"Carrer 11 de Setembre, 17, Local 1 L'Hospitalet de Llobregat",Barcelona,,8903,Spain,,,,
6881,Asociacion ICC – Ice Cannam Club,,,locator,,,Marijuana Associations,'+34937688857,"Carrer de Finestrat, 7",Barcelona,,8026,Spain,info@asociacion-icc.com,,,
6882,Greenage,,,locator,,,Marijuana Associations,'+34932505769,"Carrer del Rosselló, 254",Barcelona,,8037,Spain,,,,
6883,IFRANE,,,locator,,,Marijuana Associations,'+34933155723,"Carrer de Pérez Galdós, 4 Santa Coloma de Gramene",Barcelona,,8913,Spain,ifraneprivateclub@gmail.com,,,
6884,Tierra Verde,,,locator,,,Marijuana Associations,,"Carrer de Bonaventura Pollés, 28",Barcelona,,8014,Spain,,,,
6885,Zanzi Cannabis Club,,,locator,,,Marijuana Associations,'+34604286639,"Carrer de Salvador Espriu, 39",Barcelona,,8005,Spain,,,,
6886,Mr. Teddy bcn,,,locator,,,Marijuana Associations,'+34938095765,"Carrer de la Diputació, 418",Barcelona,,8013,Spain,,,,
6887,Associació Lliure Antiprohibicionista,,,locator,,,Marijuana Associations,'+34931794020,"Carrer de Leiva, 45 Baixos",Barcelona,,8014,Spain,alabcn@nodo50.org,,,
6888,Asociación Blunt,,,locator,,,Marijuana Associations,'+34931778877,"Carrer de Pere IV, 154",Barcelona,,8005,Spain,,,,
6889,Resin club,,,locator,,,Marijuana Associations,'+34931635746,"Carrer de Guitard, 57",Barcelona,,8014,Spain,resin.chill@gmail.com,,,
6890,Marieta Weed Barcelona,,,locator,,,Marijuana Associations,'+34930103863,Magalhaes 50 52,Barcelona,,8004,Spain,espana@espana.com,,,
6891,Barcelona Blue Magic Cannabis Club,,,locator,,,Marijuana Associations,,"Av. d'Icària, 132",Barcelona,,8005,Spain,,,,
6892,asociacion calfums,,,locator,,,Marijuana Associations,'+34931846729,"Carrer de Santa Rosa, 39L'Hospitalet de Llobregat",Barcelona,,8950,Spain,,,,
6893,Asociacion Carmen 66,,,locator,,,Marijuana Associations,'+34938583530,"Carrer del Carme, 66",Barcelona,,8001,Spain,,,,
6894,Friends Lounge Bcn,,,locator,,,Marijuana Associations,'+34931449526,"Carrer de la Riera Blanca, 43",Barcelona,,8028,Spain,,,,
6895,Alma,,,locator,,,Marijuana Associations,,"Carrer Dos de Maig, 7-L'Hospitalet de Llobregat",Barcelona,,8904,Spain,,,,
6896,Sana Maria ACCSM,,,locator,,,Marijuana Associations,'+34930081893,Carretera de esplugues 47 Cornella De Llobregat,Barcelona,,8940,Spain,,,,
6897,Dragons Chamber Club,,,locator,,,Marijuana Associations,'+34658613395,"Rambla de Catalunya, 73",Barcelona,,8007,Spain,,,,
6898,Asociación Kyo,,,locator,,,Marijuana Associations,'+34932224139,"Carrer de Sicília, 282",Barcelona,,8013,Spain,,,,
6899,Trinacria Cannabis Club,,,locator,,,Marijuana Associations,'+34930102755,"Carrer de l'Argenter, 13",Barcelona,,8003,Spain,,,,
6900,Círculo Bcn,,,locator,,,Marijuana Associations,'+34935418334,"Carrer del Rec, 62",Barcelona,,8003,Spain,,,,
6901,La Bruja,,,locator,,,Marijuana Associations,'+34934387000,"Carrer de la Renclusa, 44 L'Hospitalet de Llobregat,",Barcelona,,8905,Spain,labrujalh@gmail.com,,,
6902,The Wave Barcelona,,,locator,,,Marijuana Associations,'+34610911261,"Carrer de la  de Mar, 9",Barcelona,,8019,Spain,,,,
6903,El Club de Fumadors,,,locator,,,Marijuana Associations,'+34933151555,"Baixada de la Llibreteria, n° 8",Barcelona,,8002,Spain,,,,
6904,1UP,,,locator,,,Marijuana Associations,'+34934352534,"Carrer de Casanova, 112",Barcelona,,8036,Spain,,,,
6905,OG's,,,locator,,,Marijuana Associations,'+34671029703,"Carrer Gran de Sant Andreu, 316",Barcelona,,8030,Spain,,,,
6906,Kaneel Club,,,locator,,,Marijuana Associations,,"Carrer del Torrent de l'Olla, 160",Barcelona,,8012,Spain,,,,
6907,Asociacion Cannabica Djavu,,,locator,,,Marijuana Associations,,"Carrer d'Eduard Tubau, 18",Barcelona,,8016,Spain,,,,
6908,The CUT Club Bcn,,,locator,,,Marijuana Associations,'+34602004116,"Carrer de Floridablanca, 134",Barcelona,,8011,Spain,,,,
6909,The Nectar Bcn,,,locator,,,Marijuana Associations,'+34937638965,"Carrer de Viladomat, 109",Barcelona,,8015,Spain,,,,
6910,Weeds Bcn Csc,,,locator,,,Marijuana Associations,'+34933263765,"Carrer de Padilla, 371",Barcelona,,8025,Spain,,,,
6911,Club alcatraz,,,locator,,,Marijuana Associations,'+34932504646,"Carrer de la Font Honrada, 5",Barcelona,,8004,Spain,,,,
6912,Club,,,locator,,,Marijuana Associations,'+34622067723,"Carrer de Tamarit, 105",Barcelona,,8015,Spain,,,,
6913,Choko Barcelona,,,locator,,,Marijuana Associations,'+34932507103,"Carrer de les Jonqueres, 13",Barcelona,,8003,Spain,,,,
6914,ADICB,,,locator,,,Marijuana Associations,'+34933020746,"Carrer de Sant Pau, 19",Barcelona,,8001,Spain,,,,
6915,NATURAL GREEN ROOTS,,,locator,,,Marijuana Associations,,"Carrer de la Llacuna, 128",Barcelona,,8018,Spain,,,,
6916,La eme,,,locator,,,Marijuana Associations,'+34931424609,"Carrer de Garcilaso, 167",Barcelona,,8027,Spain,,,,
6917,Kif Kief,,,locator,,,Marijuana Associations,'+34699510352,"Passatge d'Alió, 14",Barcelona,,8037,Spain,,,,
6918,Club Saigon,,,locator,,,Marijuana Associations,'+34932509390,"Carrer de Jesús, 14",Barcelona,,8012,Spain,,,,
6919,El Jardi Gracia Bcn,,,locator,,,Marijuana Associations,,"Carrer del Bruc, 65",Barcelona,,8009,Spain,,,,
6920,Energy Control.,,,locator,,,Marijuana Associations,'+34931137900,"Carrer de la Independència, 384",Barcelona,,8041,Spain,,,,
6921,Mano Verde,,,locator,,,Marijuana Associations,,"Carrer de Casp, 127",Barcelona,,8013,Spain,,,,
6922,Social Club Prat,,,locator,,,Marijuana Associations,'+34931775618,"Carrer de Barcelona, Nº 119, Local",Barcelona,,8820,Spain,,,,
6923,Asociación Ramón Santos de Estudios del Cannabis ARSEC,,,locator,,,Marijuana Associations,'+34933023755,C/ Parc nº3 entl-1º,Barcelona,,8002,Spain,arsec@telefonica.net,,,
6924,Sweet Oil Cannabis Club Barcelona,,,locator,,,Marijuana Associations,,"Carrer de Sepúlveda, 65",Barcelona,,8015,Spain,https://sweetoilcannabisclub.com/,,,
6925,SlamDank Cannabis Social Club Barcelona,,,locator,,,Marijuana Associations,'+34604247157,"Av. de la Mare de Déu de Montserrat, 288",Barcelona,,8041,Spain,,,,
6926,Barcelona Weed Club,,,locator,,,Marijuana Associations,'+34931005303,"Carrer de Roger de Flor, 96",Barcelona,,8013,Spain,,,,
6927,Medical Green BCN,,,locator,,,Marijuana Associations,,Avd. diagonal 434,Barcelona,,8136,Spain,medicalgreenbcn@gmail.com,,,
6928,H.Q. Barcelona,,,locator,,,Marijuana Associations,,"Carrer d'Enric Granados, 65",Barcelona,,8008,Spain,edu@hqbarcelona.com,,,
6929,Club Villamaría - Asociación Cannábica de Sabadell,,,locator,,,Marijuana Associations,'+34931683683,"Carrer Rocafort, 74",Barcelona,,8205,Spain,villamariasabadell@gmail.com,,,
6930,Auma Sitges,,,locator,,,Marijuana Associations,'+34938111508,"Carrer Rafael Llopart, 35",Barcelona,,8870,Spain,comunicacion@grupoauma.org,,,
6931,Marandala,,,locator,,,Marijuana Associations,,Carrer de la Dàlia 1 Castelldefels,Barcelona,,8860,Spain,tximo.marandala@gmail.com,,,
6932,Planta santa,,,locator,,,Marijuana Associations,,Carrer del Bruc 65,Barcelona,,8009,Spain,lisandropalacios@hotmail.com,,,
6933,Asociación Ramón Santos de Estudios sobre el Cannabis (ARSEC),,,locator,,,Marijuana Associations,'+34933023755,"Carrer del Parc, 3, entl. 1ª",Barcelona,,8002,Spain,arsecmail@gmail.com,,,
6934,Royal Weed ACCV,,,locator,,,Marijuana Associations,'+34615048649,María Fortuny 3,Barcelona,,8110,Spain,Veloz2300@hotmail.com,,,
6935,LMG CLUB,,,locator,,,Marijuana Associations,'+34932509390,Jesús Carrer 14,Barcelona,,8012,Spain,club@lamariagracia.org,,,
6936,Senzi Club,,,locator,,,Marijuana Associations,'+34936670390,"Gran Via de les Corts Catalanes, 674",Barcelona,,8010,Spain,info@senzi.es,,,
6937,Sibaritas Cannabis Club,,,locator,,,Marijuana Associations,'+34932380274,"C/ Camps I Fabrés, 3",Barcelona,,8006,Spain,infosibaritasclub@gmail.com,,,
6938,Weed You,,,locator,,,Marijuana Associations,'+34932500243,"c/ Villarroel, 84",Barcelona,,8011,Spain,info@weedyoubcn.com,,,
6939,Haze Brothers,,,locator,,,Marijuana Associations,'+34602832534,Carme 39,Barcelona,,8002,Spain,hazebrothers29@gmail.com,,,
6940,Associacio Sikar,,,locator,,,Marijuana Associations,'+34937122773,"C/ Frederic Soler, 154",Barcelona,,8205,Spain,cannasikar@gmail.com,,,
6941,Vora El Mar,,,locator,,,Marijuana Associations,'+34669307810,Carrer de Mestres Villà 79,Barcelona,,8320,Spain,acvoraelmar@gmail.com,,,
6942,Remedio Natural,,,locator,,,Marijuana Associations,,"C/ Sant Magí, 14 Tarragona",Barcelona,,43004,Spain,clinicaremedionatural@gmail.com,,,
6943,AC Aniser,,,locator,,,Marijuana Associations,'+34930020846,Travessera de les Corts 114-116,Barcelona,,8028,Spain,blok@bloknarcodruida.com,,,
6944,Blok NarcoDruida,,,locator,,,Marijuana Associations,'+34977318103,Sant Vicenç nº3 Reus,Barcelona,,43201,Spain,,,,
6945,K-Lite,,,locator,,,Marijuana Associations,'+34933235754,"Carrer Muntaner, 119",Barcelona,,8036,Spain,asociacion@k-lite.es,,,
6946,Weedom,,,locator,,,Marijuana Associations,'+34931629562,"Carrer de Numància, 2",Barcelona,,8029,Spain,info@weedomsants.org,,,
6947,Asociacion Canabica 420,,,locator,,,Marijuana Associations,'+34600961018,"Carrer de la blanqueria, 14",Barcelona,,8003,Spain,ac420barcelona@gmail.com,,,
6948,Green Age Barcelona,,,locator,,,Marijuana Associations,'+34932505769,"Carrer Rosselló, 254",Barcelona,,8037,Spain,info@greenagebcn.es,,,
6949,Accio Cannabica,,,locator,,,Marijuana Associations,'+34938067482,"Travessia Gomis, 14",Barcelona,,8700,Spain,acciocannabica@facebook.com,,,
6950,Gourmet Ganja,,,locator,,,Marijuana Associations,,Paseo de Picasso,Barcelona,,8003,Spain,antogummy@gmail.com,,,
6951,Sticky Born,,,locator,,,Marijuana Associations,'+34930218093,Plaza Victor Balaguer Nº 3,Barcelona,,8003,Spain,Stickygreenbcn@gmail.com,,,
6952,La Cima Club,,,locator,,,Marijuana Associations,'+34608930848,Travessera de Gràcia 213,Barcelona,,8012,Spain,lacimaclubgracia@gmail.com,,,
6953,The resin park,,,locator,,,Marijuana Associations,,Carrer Rossello 55 Bajo,Barcelona,,8830,Spain,sincorreo@sindominio.com,,,
6954,Sweet Dreams,,,locator,,,Marijuana Associations,'+34934189892,C/ de Ballester Nº 11,Barcelona,,8023,Spain,info@sweetdreamsbcn.com,,,
6955,Cannatura,,,locator,,,Marijuana Associations,'+34656858781,Aprestadora 64 Hospitalet de Llobregat,Barcelona,,8902,Spain,Cannaturabcn@hotmail.com,,,
6956,Choko Club,,,locator,,,Marijuana Associations,'+34932507103,Ciutat Vella,Barcelona,,8003,Spain,info@choko-art.com,,,
6957,Anesthesia,,,locator,,,Marijuana Associations,'+34931792935,Carrer de Múrcia 35,Barcelona,,8027,Spain,,,,
6958,Mr.Green.Barna,,,locator,,,Marijuana Associations,+34(003)4634054,Urquinaona M,Barcelona,,8002,Spain,mr.green.barna@gmail.com,,,
6959,Ojos Rojos,,,locator,,,Marijuana Associations,'+34936115116,C / República Argentina 35,Barcelona,,8320,Spain,asociacionredeyes@gmail.com,,,
6960,CannaVIP Asociacion Cannabica,,,locator,,,Marijuana Associations,'+34691605708,"C/Montgat,nº7 local",Barcelona,,8304,Spain,cannavip@cannavip.es,,,
6961,Grup Igia - Abordaje y Prevención de las Drogodependencias (IGIA),,,locator,,,Marijuana Associations,'+34934152599,"Enrique Granados, 116; 1º-2ª",Barcelona,,8080,Spain,info@igia.org,,,
6962,Herbalist,,,locator,,,Marijuana Associations,'+34933484099,Ginebra 31,Barcelona,,8003,Spain,asociacionherbalist@gmail.com,,,
6963,Sticky and Green,,,locator,,,Marijuana Associations,'+34933808812,Sant Pere Mes Alt 43,Barcelona,,8003,Spain,sergabrielnaya@hotmail.com,,,
6964,Movimiento Asociativo Cannabico de Autoconsumo (LA MACA),,,locator,,,Marijuana Associations,'+34934907202,"Miquel Angel, 109 local",Barcelona,,8028,Spain,lamacabcn@gmail.com,,,
6965,Accb Jamming,,,locator,,,Marijuana Associations,,"Carrer de Sant Pere Més Alt, 27",Barcelona,,8003,Spain,jammin.accb@hotmail.com,,,
6966,SUCS,,,locator,,,Marijuana Associations,'+34933298226,"Carrer Poeta Cabanyes, 47",Barcelona,,8880,Spain,info@sucsbcn.com,,,
6967,La ganja,,,locator,,,Marijuana Associations,'+34931637413,Carrer Barcelona 114,Barcelona,,8901,Spain,,,,
6968,Einstein&#39;s Revolution,,,locator,,,Marijuana Associations,'+34687201387,C/ Sant Pere Nº 18 Bajo,Barcelona,,8870,Spain,einsteinrevolutionclub@gmail.com,,,
6969,Casal Antiprohibicionista,,,locator,,,Marijuana Associations,'+34931683683,"Carrer Rocafort, 74",Barcelona,,8205,Spain,alabcn@nodo50.org,,,
6970,The Weedow,,,locator,,,Marijuana Associations,,Mila i Fontanals 63 sabadell,Barcelona,,8205,Spain,smokingclub63@hotmail.com,,,
6971,La Hacienda,,,locator,,,Marijuana Associations,'+34933155723,C/ Carrer Perez Galdos Nº 4,Barcelona,,8012,Spain,maylahacienda@hotmail.com,,,
6972,Street Legal Bcn,,,locator,,,Marijuana Associations,'+34932503341,Pere Pau 30-32 Atico & Sobre Atico,Barcelona,,8032,Spain,streetlegalbcn@gmail.com,,,
6973,Airam,,,locator,,,Marijuana Associations,'+34933042666,"Carrer Ample, 7",Barcelona,,8002,Spain,info@airambarcelona.org,,,
6974,Siwi&#39;s Farm,,,locator,,,Marijuana Associations,'+34674468624,Sant Pere més Alt 74,Barcelona,,8003,Spain,siwisfarm@gmail.com,,,
6975,MedWeedBCN,,,locator,,,Marijuana Associations,'+34664162591,30 carrer pere pau,Barcelona,,8032,Spain,medweedbcn@gmail.com,,,
6976,medweedbcn@gmail.com,,,locator,,,Marijuana Associations,'+34684114806,Calle lluna 11,Barcelona,,8001,Spain,thcfindereuropa@gmail.com,,,
6977,Weed Medical,,,locator,,,Marijuana Associations,'+34629907834,Carrer de la Lluna 27,Barcelona,,8002,Spain,torelli.alessio@alice.it,,,
6978,Sow what,,,locator,,,Marijuana Associations,'+34934426975,Carrer de Salvà 7,Barcelona,,8004,Spain,sowwhat@hotmail.es,,,
6979,The Green Way,,,locator,,,Marijuana Associations,'+34677172302,Mataro,Barcelona,,8303,Spain,tresorer@thegreenway.es,,,
